family,derived,precision,recall,n_pred_cuts,n_gold_cuts
dim_et,platet,1.0,1.0,1,1
dim_et,piset,1.0,1.0,1,1
dim_et,ramet,1.0,1.0,1,1
dim_et,filet,1.0,1.0,1,1
dim_et,cadireta,1.0,1.0,1,1
dim_et,horeta,1.0,1.0,1,1
dim_et,camiseta,1.0,1.0,1,1
dim_et,cullereta,1.0,1.0,1,1
agent_dor,treballador,1.0,1.0,1,1
agent_dor,jugador,1.0,1.0,1,1
agent_dor,pescador,1.0,1.0,1,1
agent_dor,comprador,1.0,1.0,1,1
agent_dor,ballador,1.0,1.0,1,1
agent_dor,nedador,1.0,1.0,1,1
agent_dor,educador,1.0,1.0,1,1
agent_dor,programador,1.0,1.0,1,1
agent_dor,administrador,1.0,1.0,1,1
agent_dor,governador,1.0,1.0,1,1
agent_dor,caçador,1.0,1.0,1,1
agent_dor,creador,1.0,1.0,1,1
agent_dor,comptador,1.0,1.0,1,1
agent_dor,explorador,1.0,1.0,1,1
agent_dor,investigador,0.0,0.0,1,1
agent_dor,organitzador,1.0,1.0,1,1
agent_dor,dissenyador,1.0,1.0,1,1
agent_dor,comunicador,1.0,1.0,1,1
agent_dor,presentador,0.0,0.0,1,1
agent_dor,entrenador,1.0,1.0,1,1
agent_dor,ordenador,1.0,1.0,1,1
agent_dor,gravador,1.0,1.0,1,1
agent_dor,regador,0.0,0.0,1,1
agent_dor,comprovador,1.0,1.0,1,1
agent_dor,exportador,1.0,1.0,1,1
nom_cio,educació,0.0,0.0,1,1
nom_cio,informació,0.0,0.0,1,1
nom_cio,creació,0.0,0.0,1,1
nom_cio,formació,0.0,0.0,1,1
nom_cio,comunicació,0.0,0.0,1,1
nom_cio,organització,0.0,0.0,1,1
nom_cio,administració,0.0,0.0,1,1
nom_cio,presentació,0.0,0.0,1,1
nom_cio,preparació,0.0,0.0,1,1
nom_cio,situació,0.0,0.0,1,1
nom_cio,continuació,0.0,0.0,1,1
nom_cio,actuació,0.0,0.0,1,1
nom_cio,aplicació,0.0,0.0,1,1
nom_cio,associació,0.0,0.0,1,1
nom_cio,celebració,0.0,0.0,1,1
nom_cio,circulació,0.0,0.0,1,1
nom_cio,declaració,0.0,0.0,1,1
nom_cio,generació,0.0,0.0,1,1
nom_cio,importació,0.0,0.0,1,1
nom_cio,exportació,0.0,0.0,1,1
nom_cio,modificació,0.0,0.0,1,1
nom_cio,negociació,0.0,0.0,1,1
nom_cio,observació,0.0,0.0,1,1
nom_cio,participació,0.0,0.0,1,1
plural,gats,1.0,1.0,1,1
plural,llibres,0.0,0.0,1,1
plural,cotxes,0.0,0.0,1,1
plural,arbres,0.0,0.0,1,1
plural,colors,1.0,1.0,1,1
plural,flors,1.0,1.0,1,1
plural,ocells,1.0,1.0,1,1
plural,carrers,1.0,1.0,1,1
plural,ponts,1.0,1.0,1,1
plural,peixos,1.0,1.0,1,1
plural,calaixos,1.0,1.0,1,1
plural,despatxos,0.0,0.0,1,1
plural,textos,1.0,1.0,1,1
plural,gasos,1.0,1.0,1,1
plural,cels,1.0,1.0,1,1
plural,trens,0.0,0.0,1,1
plural,llums,1.0,1.0,1,1
plural,jardins,0.0,0.0,1,1
plural,rius,1.0,1.0,1,1
plural,peus,1.0,1.0,1,1
plural,museus,1.0,1.0,1,1
plural,taxis,1.0,1.0,1,1
plural,dits,1.0,1.0,1,1
plural,plats,1.0,1.0,1,1
plural,moments,1.0,1.0,1,1
plural,papers,1.0,1.0,1,1
plural,pisos,1.0,1.0,1,1
plural,braços,1.0,1.0,1,1
plural,discos,1.0,1.0,1,1
plural,boscos,1.0,1.0,1,1
verb_em,cantem,1.0,1.0,1,1
verb_em,parlem,1.0,1.0,1,1
verb_em,treballem,1.0,1.0,1,1
verb_em,mirem,1.0,1.0,1,1
verb_em,estudiem,1.0,1.0,1,1
verb_em,comprem,1.0,1.0,1,1
verb_em,ballem,1.0,1.0,1,1
verb_em,nedem,1.0,1.0,1,1
verb_em,caminem,1.0,1.0,1,1
verb_em,escoltem,1.0,1.0,1,1
verb_em,cuinem,1.0,1.0,1,1
verb_em,dibuixem,1.0,1.0,1,1
verb_em,saltem,1.0,1.0,1,1
verb_em,entrem,1.0,1.0,1,1
verb_em,portem,1.0,1.0,1,1
verb_em,trobem,1.0,1.0,1,1
verb_em,ajudem,1.0,1.0,1,1
verb_em,preguntem,0.0,0.0,1,1
verb_em,contestem,1.0,1.0,1,1
verb_em,visitem,1.0,1.0,1,1
verb_em,dinem,1.0,1.0,1,1
verb_em,sopem,1.0,1.0,1,1
verb_em,arribem,1.0,1.0,1,1
verb_em,guanyem,1.0,1.0,1,1
verb_em,pensem,1.0,1.0,1,1
gender_a,gata,1.0,1.0,1,1
gender_a,noia,1.0,1.0,1,1
gender_a,nena,1.0,1.0,1,1
gender_a,filla,1.0,1.0,1,1
gender_a,professora,1.0,1.0,1,1
gender_a,senyora,1.0,1.0,1,1
gender_a,doctora,1.0,1.0,1,1
gender_a,alumna,1.0,1.0,1,1
gender_a,cosina,1.0,1.0,1,1
gender_a,tieta,1.0,1.0,1,1
gender_a,mestra,1.0,1.0,1,1
gender_a,sogra,1.0,1.0,1,1
gender_a,pintora,1.0,1.0,1,1
gender_a,escriptora,1.0,1.0,1,1
gender_a,directora,1.0,1.0,1,1
gender_a,treballadora,0.0,0.0,1,1
gender_a,jugadora,0.0,0.0,1,1
gender_a,monitora,1.0,1.0,1,1
gender_a,germana,1.0,1.0,1,1
gender_a,companya,1.0,1.0,1,1
gender_a,reina,0.0,0.0,1,1
gender_a,xicota,1.0,1.0,1,1
gender_a,candidata,1.0,1.0,1,1
gender_a,conilla,1.0,1.0,1,1
gender_a,enginyera,1.0,1.0,1,1
gem_lla,col·legis,1.0,1.0,1,1
gem_lla,paral·lels,1.0,1.0,1,1
gem_lla,intel·lectuals,0.0,0.0,1,1
gem_lla,mil·lennis,1.0,1.0,1,1
gem_lla,excel·lents,1.0,1.0,1,1
gem_lla,el·lipses,0.0,0.0,1,1
gem_lla,novel·les,1.0,1.0,1,1
gem_lla,cèl·lules,1.0,1.0,1,1
gem_lla,síl·labes,1.0,1.0,1,1
gem_lla,aquarel·les,1.0,1.0,1,1
gem_lla,al·lèrgies,1.0,1.0,1,1
gem_lla,pel·lícules,1.0,1.0,1,1
cedilla,places,1.0,1.0,1,1
cedilla,caces,1.0,1.0,1,1
cedilla,forces,1.0,1.0,1,1
cedilla,peces,1.0,1.0,1,1
cedilla,llances,1.0,1.0,1,1
cedilla,esperances,1.0,1.0,1,1
cedilla,confiances,1.0,1.0,1,1
cedilla,feliços,1.0,1.0,1,1
cedilla,dolços,1.0,1.0,1,1
cedilla,audaços,1.0,1.0,1,1
cedilla,capaços,1.0,1.0,1,1
cedilla,esforços,1.0,1.0,1,1
cedilla,veloços,1.0,1.0,1,1
ny,anys,1.0,1.0,1,1
ny,punys,1.0,1.0,1,1
ny,estanys,1.0,1.0,1,1
ny,panys,1.0,1.0,1,1
ny,banys,1.0,1.0,1,1
ny,guanys,1.0,1.0,1,1
ny,muntanyes,1.0,1.0,1,1
ny,canyes,1.0,1.0,1,1
ny,vinyes,1.0,1.0,1,1
ny,llenyes,1.0,1.0,1,1
ny,companyies,1.0,1.0,1,1
ny,cabanyes,1.0,1.0,1,1
pre_des,desfer,1.0,1.0,1,1
pre_des,desmuntar,1.0,1.0,1,1
pre_des,deslligar,1.0,1.0,1,1
pre_des,desordenar,1.0,1.0,1,1
pre_des,destapar,1.0,1.0,1,1
pre_des,descongelar,1.0,1.0,1,1
pre_des,desconnectar,1.0,1.0,1,1
pre_des,desactivar,1.0,1.0,1,1
pre_des,descarregar,1.0,1.0,1,1
pre_des,desmuntatge,1.0,1.0,1,1
pre_des,desavantatge,1.0,1.0,1,1
pre_des,desacord,1.0,1.0,1,1
pre_re,refer,1.0,1.0,1,1
pre_re,rellegir,1.0,1.0,1,1
pre_re,reescriure,1.0,1.0,1,1
pre_re,recomençar,1.0,1.0,1,1
pre_re,reomplir,1.0,1.0,1,1
pre_re,reconsiderar,1.0,1.0,1,1
pre_re,reorganitzar,1.0,1.0,1,1
pre_re,reconstruir,1.0,1.0,1,1
pre_re,recol·locar,1.0,1.0,1,1
pre_re,reaparèixer,1.0,1.0,1,1
pre_re,replantejar,1.0,1.0,1,1
pre_re,redefinir,1.0,1.0,1,1
pre_in,inútil,1.0,1.0,1,1
pre_in,injust,1.0,1.0,1,1
pre_in,incomplet,1.0,1.0,1,1
pre_in,incorrecte,1.0,1.0,1,1
pre_in,impossible,1.0,1.0,1,1
pre_in,immortal,1.0,1.0,1,1
pre_in,invisible,1.0,1.0,1,1
pre_in,incapaç,1.0,1.0,1,1
pre_in,innecessari,1.0,1.0,1,1
pre_in,insegur,1.0,1.0,1,1
pre_in,inactiu,1.0,1.0,1,1
pre_in,inoportú,1.0,1.0,1,1
verb_reg,canto,0.0,0.0,0,1
verb_reg,parlo,0.0,0.0,0,1
verb_reg,miro,0.0,0.0,0,1
verb_reg,compro,0.0,0.0,0,1
verb_reg,treballo,0.0,0.0,0,1
verb_reg,estudio,0.0,0.0,0,1
verb_reg,escolto,0.0,0.0,0,1
verb_reg,ballo,0.0,0.0,0,1
verb_reg,nedo,0.0,0.0,0,1
verb_reg,camino,0.0,0.0,0,1
verb_reg,cuino,0.0,0.0,0,1
verb_reg,salto,0.0,0.0,0,1
verb_reg,entro,0.0,0.0,0,1
verb_reg,porto,0.0,0.0,0,1
verb_reg,ajudo,0.0,0.0,0,1
verb_alt,puc,1.0,1.0,0,0
verb_alt,vull,1.0,1.0,0,0
verb_alt,tinc,1.0,1.0,0,0
verb_alt,vinc,1.0,1.0,0,0
verb_alt,dic,1.0,1.0,0,0
verb_alt,duc,1.0,1.0,0,0
verb_alt,bec,1.0,1.0,0,0
verb_alt,caic,1.0,1.0,0,0
verb_alt,crec,1.0,1.0,0,0
verb_alt,visc,1.0,1.0,0,0
verb_alt,prenc,1.0,1.0,0,0
verb_alt,escric,1.0,1.0,0,0
verb_alt,cullo,1.0,1.0,0,0
verb_alt,cuso,1.0,1.0,0,0
verb_alt,surto,1.0,1.0,0,0
verb_supl,sóc,1.0,1.0,0,0
verb_supl,vaig,1.0,1.0,0,0
verb_supl,faig,1.0,1.0,0,0
verb_supl,estic,1.0,1.0,0,0
verb_supl,he,1.0,1.0,0,0
verb_supl,sé,1.0,1.0,0,0
verb_supl,veig,1.0,1.0,0,0
nom_cio_d1,realització,0.0,0.0,1,1
nom_cio_d1,globalització,0.0,0.0,1,1
nom_cio_d1,organització,0.0,0.0,1,1
nom_cio_d1,modernització,0.0,0.0,1,1
nom_cio_d1,nacionalització,0.0,0.0,1,1
nom_cio_d1,privatització,0.0,0.0,1,1
nom_cio_d1,actualització,0.0,0.0,1,1
nom_cio_d1,legalització,0.0,0.0,1,1
nom_cio_d1,normalització,0.0,0.0,1,1
nom_cio_d1,centralització,0.0,0.0,1,1
nom_cio_d1,automatització,0.0,0.0,1,1
nom_cio_d1,digitalització,0.0,0.0,1,1
